Country Name,GDP 2015,GDP 2016,GDP 2017,Country Name,GDP 2015,GDP 2016,GDP 2017
Haiti,815.7282844,735.7551202,765.6139847,Ghana,1766.005701,1931.38947,2025.885857
Hungary,12503.68207,12839.58454,14278.8745,Zimbabwe,1445.071062,1464.583529,1602.403507
IBRD only,5569.060182,5547.990636,6052.038611,Liberia,710.3838577,714.6233922,698.7017644
IDA & IBRD total,4525.15739,4483.519404,4858.928339,India,1605.605431,1729.268021,1981.499045
IDA total,1372.635332,1308.996752,1345.324333,Sudan,2486.745659,2398.10188,3015.02443
IDA blend,1973.224112,1787.140292,1733.460499,Haiti,815.7282844,735.7551202,765.6139847
Indonesia,3331.695128,3562.845756,3836.913814,Nepal,792.5528906,777.1475955,900.5739036
IDA only,1056.805395,1060.144064,1147.046624,Ethiopia,639.3043597,716.8800387,768.0104163
Isle of Man,81606.28003,79155.54167,,Sierra Leone,588.2284527,501.4157129,499.3807078
India,1605.605431,1729.268021,1981.499045,Mauritania,1194.312515,1135.558646,1161.785457
Not classified,,,,Kenya,1336.883349,1410.527571,1568.201541
Ireland,61908.79453,63558.69793,68941.80665,Armenia,3607.296697,3591.829276,3914.501268
Iran,4916.085938,5265.906635,5627.749268,Botswana,6799.875234,7243.856017,7893.675933
Iraq,4989.803075,4649.468115,5143.661232,Myanmar,1133.002816,1192.495338,1249.828757
Iceland,52428.59576,61757.94931,71314.7742,Georgia,3756.383768,3857.281728,4045.41705
Israel,35855.27504,37371.62691,40543.58417,Malawi,380.5970331,315.7773264,356.7175732
Italy,30170.5166,30830.92266,32155.20587,Sri Lanka,3843.780672,3886.291502,4104.630983
Jamaica,4892.897447,4842.045011,5060.544924,Cameroon,1326.969277,1363.403851,1421.587492
Jordan,4097.411436,4109.574819,4168.641604,Bulgaria,6993.783483,7469.455638,8228.01157
Japan,34524.46986,38794.33094,38331.9794,Egypt,3598.970948,3525.020165,2440.510173
Kazakhstan,10510.77189,7714.841844,9030.318806,Yemen,1608.744312,1139.870568,963.494721
Kenya,1336.883349,1410.527571,1568.201541,Angola,4166.979684,3506.072885,4095.812942
Kyrgyz Republic,1121.082835,1120.666513,1242.769643,Mali,751.1704966,779.874933,828.6132202
Cambodia,1162.90492,1269.591257,1385.25998,Congo,497.3169608,471.3188404,467.0742375
Kiribati,1542.57525,1584.807446,1625.57597,Uganda,709.0210386,608.7057351,631.5227198
St. Kitts and Nevis,18286.31939,18575.75173,19060.57072,Senegal,1218.764246,1269.040407,1367.218948
Korea,27105.07623,27608.24743,29742.83886,Gabon,7381.746749,6979.709196,7212.535744
Kuwait,29869.52939,27653.1644,29474.54143,Niger,360.8533841,362.1311323,375.8694897
Latin America & Caribbean (excluding high income),8449.223414,8131.541009,8959.802025,Cambodia,1162.90492,1269.591257,1385.25998
Lao PDR,2134.704224,2308.802616,2423.846203,Tanzania,947.9334465,966.4746224,1004.841121
Lebanon,7649.832611,7634.946544,7838.343385,Madagascar,402.0883118,400.0362751,448.4007965
Liberia,710.3838577,714.6233922,698.7017644,Chad,775.7075235,692.9785958,664.3033157
Libya,4337.919139,4038.970683,5792.06511,Guinea,769.2560137,733.0207588,821.6514609
St. Lucia,9160.734157,9377.886858,10003.25987,Burkina Faso,575.3144542,583.8326203,642.0404265
Latin America & Caribbean,8856.928817,8561.875358,9397.620709,Afghanistan,578.4663529,547.2281102,556.3021385
Least developed countries: UN classification,1019.805505,996.4319781,1092.653966,Rwanda,728.0817574,726.353049,762.4991636
Low income,790.8911312,737.0070615,766.5172164,Benin,783.9630778,788.5491965,827.4298101
Liechtenstein,167290.94,165028.245,,Syria,,,
Sri Lanka,3843.780672,3886.291502,4104.630983,Burundi,305.5497728,282.1496815,293.009062
Lower middle income,1995.940544,2049.093225,2187.498829,Togo,570.6807371,587.8744094,619.066371
Low & middle income,4418.263656,4378.157291,4743.063862,,,,
Lesotho,1219.177853,1119.719758,1232.786919,,,,
Late-demographic dividend,8192.175446,8142.694211,8943.25321,,,,
Lithuania,14291.90642,14982.53305,16809.64826,,,,
Luxembourg,100428.368,101305.5277,104498.7387,,,,
Latvia,13639.69412,14133.68295,15684.55852,,,,
"Macao SAR, China",75340.98698,73954.95677,81208.88207,,,,
St. Martin (French part),,,,,,,
Morocco,2875.257985,2897.66344,3036.171062,,,,
Monaco,165920.2236,169904.1821,166726.0519,,,,
Moldova,2179.233625,2272.405707,2724.493093,,,,
Madagascar,402.0883118,400.0362751,448.4007965,,,,
Maldives,9033.390413,9282.723553,9801.624542,,,,
Middle East & North Africa,7388.593939,7264.079568,7422.027903,,,,
