Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OECD members,"International migrant stock, total",30802313,,,,,34281364,,,,,36832922,,,,,40404870,,,,,45218695,,,,,50166055,,,,,64636059,..,..,..,..,74432259,,,,,86524116,,,,,101719731,,,,,118646904,,,,,128421653,,,
Other small states,"International migrant stock, total",298708,,,,,390033,,,,,475758,,,,,610742,,,,,846943,,,,,1070151,,,,,1702222,..,..,..,..,1784954,,,,,1911587,,,,,2452150,,,,,3791960,,,,,4185638,,,
Pacific island small states,"International migrant stock, total",38580,,,,,37370,,,,,36910,,,,,37989,,,,,39496,,,,,38771,,,,,39024,..,..,..,..,42270,,,,,45219,,,,,44841,,,,,46061,,,,,48359,,,
Post-demographic dividend,"International migrant stock, total",28246654,,,,,31902367,,,,,35064519,,,,,39181065,,,,,43723484,,,,,48652390,,,,,70533191,..,..,..,..,80577945,,,,,92403421,,,,,107100145,,,,,123872097,,,,,132210514,,,
Pre-demographic dividend,"International migrant stock, total",5671764,,,,,6436152,,,,,6980344,,,,,7578542,,,,,10471045,,,,,9360790,,,,,10996437,..,..,..,..,12305333,,,,,10751023,,,,,10569263,,,,,11189410,,,,,13348827,,,
Small states,"International migrant stock, total",525168,,,,,612765,,,,,702885,,,,,832010,,,,,1067548,,,,,1303204,,,,,1947092,..,..,..,..,2057627,,,,,2214658,,,,,2787224,,,,,4159671,,,,,4583559,,,
South Asia,"International migrant stock, total",17823042,,,,,17168196,,,,,16513007,,,,,15613689,,,,,15654494,,,,,16148912,,,,,15144742,..,..,..,..,12405351,,,,,12474215,,,,,11153081,,,,,11565030,,,,,11377262,,,
South Asia (IDA & IBRD),"International migrant stock, total",17823042,,,,,17168196,,,,,16513007,,,,,15613689,,,,,15654494,,,,,16148912,,,,,15144742,..,..,..,..,12405351,,,,,12474215,,,,,11153081,,,,,11565030,,,,,11377262,,,
Sub-Saharan Africa,"International migrant stock, total",7897259,,,,,8675286,,,,,9246797,,,,,9902034,,,,,12919321,,,,,12970372,,,,,14495276,..,..,..,..,15120927,,,,,13469475,,,,,13680256,,,,,15198834,,,,,18676830,,,
Sub-Saharan Africa (excluding high income),"International migrant stock, total",7896414,,,,,8673831,,,,,9244291,,,,,9899100,,,,,12916145,,,,,12966934,,,,,14491555,..,..,..,..,15115779,,,,,13462901,,,,,13671259,,,,,15187414,,,,,18664039,,,
Sub-Saharan Africa (IDA & IBRD countries),"International migrant stock, total",7897259,,,,,8675286,,,,,9246797,,,,,9902034,,,,,12919321,,,,,12970372,,,,,14495276,..,..,..,..,15120927,,,,,13469475,,,,,13680256,,,,,15198834,,,,,18676830,,,
Upper middle income,"International migrant stock, total",10706223,,,,,10511821,,,,,10436015,,,,,10304877,,,,,11848221,,,,,15601362,,,,,35323406,..,..,..,..,35142961,,,,,36070077,,,,,38257812,,,,,42090014,,,,,49264520,,,
World,"International migrant stock, total",71884946,,,,,75216134,,,,,78381866,,,,,82720982,,,,,93716870,,,,,104614205,,,,,152269004,..,..,..,..,160448332,,,,,172278883,,,,,190789342,,,,,221233994,,,,,243192681,,,
